2019-12-16 15:00:16 startup archives unpack
2019-12-16 15:00:16 install binutils-common:amd64 <none> 2.31.1-16
2019-12-16 15:00:16 status half-installed binutils-common:amd64 2.31.1-16
2019-12-16 15:00:16 status unpacked binutils-common:amd64 2.31.1-16
2019-12-16 15:00:16 install libbinutils:amd64 <none> 2.31.1-16
2019-12-16 15:00:16 status triggers-pending libc-bin:amd64 2.28-10
2019-12-16 15:00:16 status half-installed libbinutils:amd64 2.31.1-16
2019-12-16 15:00:16 status unpacked libbinutils:amd64 2.31.1-16
2019-12-16 15:00:16 install binutils-x86-64-linux-gnu:amd64 <none> 2.31.1-16
2019-12-16 15:00:16 status half-installed binutils-x86-64-linux-gnu:amd64 2.31.1-16
2019-12-16 15:00:17 status unpacked binutils-x86-64-linux-gnu:amd64 2.31.1-16
2019-12-16 15:00:17 install binutils:amd64 <none> 2.31.1-16
2019-12-16 15:00:17 status half-installed binutils:amd64 2.31.1-16
2019-12-16 15:00:17 status unpacked binutils:amd64 2.31.1-16
2019-12-16 15:00:17 install libisl19:amd64 <none> 0.20-2
2019-12-16 15:00:17 status half-installed libisl19:amd64 0.20-2
2019-12-16 15:00:17 status unpacked libisl19:amd64 0.20-2
2019-12-16 15:00:17 install libmpfr6:amd64 <none> 4.0.2-1
2019-12-16 15:00:17 status half-installed libmpfr6:amd64 4.0.2-1
2019-12-16 15:00:17 status unpacked libmpfr6:amd64 4.0.2-1
2019-12-16 15:00:17 install libmpc3:amd64 <none> 1.1.0-1
2019-12-16 15:00:17 status half-installed libmpc3:amd64 1.1.0-1
2019-12-16 15:00:17 status unpacked libmpc3:amd64 1.1.0-1
2019-12-16 15:00:17 install cpp-8:amd64 <none> 8.3.0-6
2019-12-16 15:00:17 status half-installed cpp-8:amd64 8.3.0-6
2019-12-16 15:00:18 status unpacked cpp-8:amd64 8.3.0-6
2019-12-16 15:00:18 install cpp:amd64 <none> 4:8.3.0-1
2019-12-16 15:00:18 status half-installed cpp:amd64 4:8.3.0-1
2019-12-16 15:00:18 status unpacked cpp:amd64 4:8.3.0-1
